dataset,name,first_n_layers,task,acc,acc_norm,exact_match_strict,exact_match_flexible
ceval,baseline_int8_sq_fullcalib,0,ceval-valid,0.687221396731055,0.687221396731055,,
gsm8k,baseline_int8_sq_fullcalib,0,gsm8k,,,0.8316906747536013,0.8271417740712661
ceval,first_01_layers_down_o,1,ceval-valid,0.7013372956909361,0.7013372956909361,,
ceval,first_02_layers_down_o,2,ceval-valid,0.7132243684992571,0.7132243684992571,,
ceval,first_03_layers_down_o,3,ceval-valid,0.7213967310549777,0.7213967310549777,,
ceval,first_04_layers_down_o,4,ceval-valid,0.7288261515601783,0.7288261515601783,,
ceval,first_05_layers_down_o,5,ceval-valid,0.7399702823179792,0.7399702823179792,,
ceval,first_06_layers_down_o,6,ceval-valid,0.7473997028231798,0.7473997028231798,,
ceval,first_07_layers_down_o,7,ceval-valid,0.7555720653789004,0.7555720653789004,,
ceval,first_08_layers_down_o,8,ceval-valid,0.7652303120356612,0.7652303120356612,,
ceval,first_09_layers_down_o,9,ceval-valid,0.7578008915304606,0.7578008915304606,,
ceval,first_10_layers_down_o,10,ceval-valid,0.7622585438335809,0.7622585438335809,,
ceval,first_11_layers_down_o,11,ceval-valid,0.7696879643387816,0.7696879643387816,,
ceval,first_12_layers_down_o,12,ceval-valid,0.7719167904903418,0.7719167904903418,,
ceval,first_13_layers_down_o,13,ceval-valid,0.7734026745913819,0.7734026745913819,,
ceval,first_14_layers_down_o,14,ceval-valid,0.774145616641902,0.774145616641902,,
ceval,first_15_layers_down_o,15,ceval-valid,0.774145616641902,0.774145616641902,,
ceval,first_16_layers_down_o,16,ceval-valid,0.774145616641902,0.774145616641902,,
ceval,first_17_layers_down_o,17,ceval-valid,0.7808320950965825,0.7808320950965825,,
ceval,first_18_layers_down_o,18,ceval-valid,0.7793462109955424,0.7793462109955424,,
ceval,first_19_layers_down_o,19,ceval-valid,0.774888558692422,0.774888558692422,,
ceval,first_20_layers_down_o,20,ceval-valid,0.7808320950965825,0.7808320950965825,,
ceval,first_21_layers_down_o,21,ceval-valid,0.7845468053491828,0.7845468053491828,,
ceval,first_22_layers_down_o,22,ceval-valid,0.7830609212481426,0.7830609212481426,,
ceval,first_23_layers_down_o,23,ceval-valid,0.7830609212481426,0.7830609212481426,,
ceval,first_24_layers_down_o,24,ceval-valid,0.7808320950965825,0.7808320950965825,,
ceval,first_25_layers_down_o,25,ceval-valid,0.7815750371471025,0.7815750371471025,,
ceval,first_26_layers_down_o,26,ceval-valid,0.7815750371471025,0.7815750371471025,,
ceval,first_27_layers_down_o,27,ceval-valid,0.7823179791976226,0.7823179791976226,,
ceval,first_28_layers_down_o,28,ceval-valid,0.7838038632986627,0.7838038632986627,,
ceval,first_29_layers_down_o,29,ceval-valid,0.7845468053491828,0.7845468053491828,,
ceval,first_30_layers_down_o,30,ceval-valid,0.7852897473997028,0.7852897473997028,,
ceval,first_31_layers_down_o,31,ceval-valid,0.7845468053491828,0.7845468053491828,,
ceval,first_32_layers_down_o,32,ceval-valid,0.7860326894502229,0.7860326894502229,,
ceval,first_33_layers_down_o,33,ceval-valid,0.7838038632986627,0.7838038632986627,,
ceval,first_34_layers_down_o,34,ceval-valid,0.787518573551263,0.787518573551263,,
ceval,first_35_layers_down_o,35,ceval-valid,0.7838038632986627,0.7838038632986627,,
ceval,first_36_layers_down_o,36,ceval-valid,0.7838038632986627,0.7838038632986627,,
gsm8k,first_01_layers_down_o,1,gsm8k,,,0.8354814253222138,0.8377558756633814
gsm8k,first_02_layers_down_o,2,gsm8k,,,0.8430629264594389,0.8438210765731615
